"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Shf",186.520500324736,0.922036482456123,0.163558883989161,5.63733659687496,1.72700345432079e-08,1.19930795438944e-06
"Fastkd3",151.758250569824,0.460585911578663,0.0820562177710176,5.61305314929277,1.98787507866843e-08,1.37519983972768e-06
"Cd200r4",7.58266683433279,-4.54503231648286,0.810813335033301,-5.60552240583979,2.07627759726707e-08,1.43089473195687e-06
"Ampd3",536.937555315475,1.10344165937257,0.197206963316941,5.59534836302497,2.20179215589805e-08,1.51164707672925e-06
"Syncrip",3012.0752552662,0.368761964450731,0.066006848003044,5.58672282660316,2.31394592158321e-08,1.58265169164889e-06
"Zfp568",265.122891409667,0.48024187685334,0.0860161573709502,5.58315892655221,2.36188727869118e-08,1.60936868143901e-06
"Scgb1b20",1741.65284479739,-6.46973304862008,1.15897894260766,-5.58226971239307,2.37399839368145e-08,1.60973275364765e-06
"Abhd14b",2598.9086397623,-0.836027802839884,0.149776993129088,-5.58181724291487,2.38018415435901e-08,1.60973275364765e-06
"Scrn1",56.301869401124,-1.62642119836912,0.291620747398126,-5.57717930867486,2.44449864410435e-08,1.64708319421529e-06
"Poc1a",98.414963835001,-0.683000614363044,0.122630739719776,-5.56957102210889,2.55367281686693e-08,1.7142711039153e-06
"Pianp",99.7765159346637,2.40591566001787,0.432496822864886,5.56285163918878,2.65401516593629e-08,1.77505626873045e-06
"Hmgxb3",831.957451755815,0.437673198377663,0.07877780662656,5.55579314936272,2.76353983963394e-08,1.83763577992697e-06
"Elfn1",126.827636789166,3.55506037933022,0.639914923727693,5.55552034733139,2.76785968507621e-08,1.83763577992697e-06
"Hist3h2bb-ps",4.83747505242868,-2.9999764282325,0.540305023704557,-5.55237559640554,2.81813264431236e-08,1.86418445905699e-06
"Phf21a",1220.63515944062,-0.426371280172503,0.0768455059147695,-5.54842179899756,2.88259764429406e-08,1.89989390192108e-06
"Zfp369",50.169820417712,1.4445130742449,0.260513830396886,5.54486136895007,2.94187160035261e-08,1.93193560711562e-06
"Nek3",71.0613450455447,-0.873168978383904,0.157545486838712,-5.54232936725008,2.98474204730944e-08,1.95301262120879e-06
"Col6a5",108.337093260503,2.21728364538207,0.401041977573945,5.52880688150219,3.2241602699833e-08,2.10208290983624e-06
"Gosr2",2414.41607419672,0.332273866569661,0.0603397700695888,5.50671416524218,3.65593134043178e-08,2.37504500162459e-06
"Cd3g",179.445035923826,3.64354796063129,0.662233686078243,5.50190670941013,3.75705750788842e-08,2.43202383323134e-06
"Gnl3",942.168311263292,0.623812605736186,0.113410610160489,5.50047834901357,3.78762262722503e-08,2.43963694979951e-06
"Gm1976",42.043607534284,-0.96490849924185,0.175434688795857,-5.50010095417705,3.79573859223979e-08,2.43963694979951e-06
"Rbpj",763.749003747933,-0.756348119021874,0.137535605488036,-5.49928955733334,3.81324502189582e-08,2.44222848133787e-06
"Ganc",443.331270379201,0.488934961375268,0.0891698918827035,5.48318441406688,4.1773715101209e-08,2.66601614862469e-06
"Trim28",3024.53438862097,0.304037307656022,0.0554776257682231,5.48035903566319,4.24463588414416e-08,2.69943948772326e-06
"Osbpl6",1096.26538611724,-0.981588540622873,0.179189746237027,-5.47792806919017,4.30334989634125e-08,2.72721038011137e-06
"Psmb5",1269.40234873349,-0.671026090314649,0.122627548486209,-5.47206642062255,4.44818043306254e-08,2.809173182901e-06
"Gm14305",83.7042127190535,-1.28722176189093,0.235623329248952,-5.46304886699437,4.68025693669653e-08,2.94547420061197e-06
"Acadl",3652.10804598172,-0.943178672475487,0.172777145918942,-5.45893189437205,4.79007443375607e-08,3.00415567860999e-06
"Bysl",602.886866207154,0.610798703419724,0.111984922461389,5.45429411383767,4.91677649547306e-08,3.06925197992555e-06
"Zfp157",240.166333452989,-0.520073882447148,0.0953688528240328,-5.45328864767566,4.94467077593523e-08,3.06925197992555e-06
"Sms",561.73904632399,0.529585214186909,0.0971106558058347,5.45342022244988,4.94101184082658e-08,3.06925197992555e-06
"Cryab",807.142663241371,-1.08973154132923,0.200089492544633,-5.4462207258892,5.14512833403349e-08,3.18277989946611e-06
"Il11ra1",1782.71728419652,-0.658295189673631,0.121016235559883,-5.43972622043662,5.33625112168973e-08,3.2897806660077e-06
"Stip1",2413.59131413138,0.405994961664764,0.0747438411174763,5.43181826883441,5.57827166508018e-08,3.42732792981621e-06
"Cstf3",729.483457250316,0.417488874617765,0.0769675211816854,5.42422138855509,5.82077025096553e-08,3.56423854049832e-06
"Trappc8",1538.81591455694,0.305254298626267,0.0562907150885796,5.42281792203059,5.86667434293504e-08,3.57585693582326e-06
"Gm14322",28.249990014802,-1.54956565680495,0.285769245112996,-5.42243675029564,5.87920202413975e-08,3.57585693582326e-06
"Dis3l",728.831582494852,-0.34977407266873,0.064538063278216,-5.41965554746965,5.97139752868365e-08,3.61978529121709e-06
"Kcnf1",28.1350587379983,4.69774851971802,0.867266331014007,5.41673111444948,6.06985164672144e-08,3.66720203656087e-06
"Supt3",280.385774031698,-0.63327132544693,0.116941785180092,-5.41526986672627,6.11963356994848e-08,3.68499529751881e-06
"Chek1",63.4836274119144,1.04320196157396,0.192824005978439,5.41012492858701,6.29807981140207e-08,3.77989061528684e-06
"Adhfe1",640.923750086034,-1.12422921202401,0.208125805872677,-5.401681003997,6.60192763520124e-08,3.94917288409315e-06
"Mthfs",165.962703380023,-0.620312909306347,0.115196464789262,-5.38482591840933,7.25147958516538e-08,4.32345616714219e-06
"Mir135a-2",2.17985169638189,3.40566723648229,0.633296186279636,5.37768473940958,7.54497799700088e-08,4.47906988288986e-06
"Tagln3",12.5354723937625,-2.15858349175001,0.401426565454147,-5.37728112066509,7.56190556780302e-08,4.47906988288986e-06
"Bco2",34.3589131114052,-1.23840070385506,0.230869253617372,-5.36407808511179,8.13637029274202e-08,4.80363881289736e-06
"Cd3e",145.735855325416,3.62893270800611,0.676600605201871,5.36347836538423,8.16344333626872e-08,4.80397436590489e-06
"A730098P11Rik",767.538871792735,0.646577513180776,0.120754438259656,5.35448239004228,8.58016761656168e-08,5.03286530906733e-06
"Pik3c2g",75.4542790545348,3.07666759239452,0.574707758364998,5.35344711744872,8.62942632150175e-08,5.04543071216836e-06
"Pyroxd2",1045.90800717521,1.43417150244686,0.268004717594194,5.35129200456256,8.73284730622477e-08,5.0894809461519e-06
"Uchl1",41.2209364997375,-3.08020628146085,0.577829586185158,-5.33064826568753,9.78627983451717e-08,5.68513852566102e-06
"Cpsf6",1812.13397663665,0.306918144334942,0.0575954339040317,5.32886243805964,9.88298133725681e-08,5.72297241973737e-06
"Cort",7.95143288958285,3.47364341242092,0.651928944842739,5.32825462023142,9.91610479575022e-08,5.72386622366155e-06
"Zfp937",299.269817932774,-1.02196432986939,0.191922928338986,-5.32486836624507,1.01026172638981e-07,5.81301390184611e-06
"Rbm15b",604.737063602411,0.509185815717052,0.0956556858179328,5.32311081524434,1.02007559549302e-07,5.85090828111104e-06
"5430417L22Rik",819.13176008215,0.492067557286324,0.0925682876745542,5.31572495989451,1.06233511917195e-07,6.07407698264721e-06
"Atp6v1c2",192.556243653683,-1.99226264086846,0.374858535606152,-5.31470528648077,1.06830085239843e-07,6.08897891500678e-06
"Tceb3",2124.97230763131,0.301886161366818,0.0568549142045574,5.3097637309005,1.0976743971805e-07,6.23678634761646e-06
"Ctps",695.214389882485,0.592734596798795,0.111762215422161,5.30353299243262,1.13582664494475e-07,6.43339310613237e-06
"Sv2c",32.757949082618,-1.96613289706441,0.370945919757565,-5.30032220963474,1.15598487349606e-07,6.52717315642245e-06
"Zfp433",39.7980812203719,-0.895996093474922,0.169209840564322,-5.29517722188459,1.18901041059774e-07,6.69279928325589e-06
"Hal",193.691919224576,1.42120732653531,0.268669272930094,5.28980225775614,1.2244867113574e-07,6.87115221156433e-06
"Cd164l2",527.735680125387,-1.01085272914679,0.191436746515247,-5.28034845737559,1.28938431106761e-07,7.21299093768532e-06
"Wdr76",247.369226844716,0.59858220145202,0.113410925561065,5.2779941481892,1.30605635043878e-07,7.28377580052398e-06
"Rmst",12.5426231477852,2.83227455616284,0.537633687694958,5.2680377383082,1.3788976425696e-07,7.66641710784479e-06
"Pign",479.211230392544,0.469289875580149,0.0891910430601279,5.26162560139338,1.42787295787484e-07,7.91443344387813e-06
"E030003E18Rik",50.8885298525709,-1.69866551550444,0.323802089627901,-5.24599923816574,1.55437543751469e-07,8.58934597712005e-06
"Gm10069",72.0856322781172,1.63262630857409,0.312084499234899,5.23135981625683,1.68267615265352e-07,9.27006239113831e-06
"AI506816",349.921437793407,1.55111174320155,0.296598899058729,5.22966116234443,1.69821003504753e-07,9.32728996522317e-06
"Apex2",157.026391766245,0.516268532155669,0.0988028009590914,5.22524186707446,1.73927606649236e-07,9.52398148192568e-06
"Dnajc5",3084.12424462112,0.207001550142527,0.0396360124611713,5.22256244483,1.76464020954347e-07,9.63376620420944e-06
"Il13ra2",7.75973963517393,5.82057975232475,1.11484415652393,5.22098063506315,1.77978153275647e-07,9.687249333697e-06
"Rbp7",119.639031938807,1.70166162484057,0.326317832580897,5.21473684530773,1.84078369517764e-07,9.98928277697447e-06
"Lrrfip2",889.858812900402,-0.333089697611411,0.0638856127092163,-5.2138452381683,1.849657999639e-07,1.00074779831214e-05
"Lef1",152.099708108706,3.4025460258351,0.653497290850151,5.20667196861465,1.92257519989231e-07,1.03710343744191e-05
"Tra2a",1604.60979676162,0.336752128818187,0.0647873028605491,5.19781058864306,2.0164944072365e-07,1.08453890596919e-05
"Gm14295",21.1026170074588,-2.08703716875046,0.402232898384343,-5.18862872016064,2.11848300846429e-07,1.13602084403595e-05
"4931429I11Rik",21.4566517398213,5.67691742989965,1.09448676599101,5.18683058242321,2.13903154782031e-07,1.14365624791278e-05
"AU022252",173.464935235269,0.527133934330124,0.101718790552634,5.18226702722506,2.19205082505753e-07,1.16855650600493e-05
"Scgb1b24",161.673277996586,-7.00421632555058,1.35175945014257,-5.181555286935,2.20043344936612e-07,1.16958522785223e-05
"Rpl34",71.8715078566247,-0.781396910796997,0.151055446616096,-5.17291450458518,2.30470484951289e-07,1.22142618121115e-05
"Mzt1",1007.16436645504,-0.501731609896985,0.0970601173579374,-5.1692870723276,2.34988698424373e-07,1.24174057112004e-05
"Coro2b",99.2882363302799,-1.44469140165674,0.279550645555485,-5.16790579676912,2.3673157000724e-07,1.24731386813408e-05
"Fam169b",68.4248134215145,3.00730571212735,0.582336378126135,5.1642071920775,2.4146012488679e-07,1.2685405111806e-05
"Usp39",671.05039668191,0.428519525094797,0.0830869094282988,5.15748543354588,2.50288314244853e-07,1.31112014326241e-05
"Trim43b",4.53884333923413,2.73593962785476,0.531190433158236,5.15058151854883,2.59680030773508e-07,1.35639785526508e-05
"Riiad1",4.92342021592477,-2.31769130774714,0.450446947571458,-5.14531471517957,2.67072689027304e-07,1.38713683804403e-05
"Csgalnact1",409.979816018181,1.0397832032357,0.202084131572606,5.14529861965991,2.67095589780616e-07,1.38713683804403e-05
"Ddx39b",3942.32248943406,0.408770632901396,0.0795878226380903,5.136095188333,2.80505620625114e-07,1.45261839252291e-05
"Dmc1",8.9033048943896,-1.78285220513285,0.347223258948849,-5.13459902003711,2.82746198924767e-07,1.46004981638501e-05
"Pot1b",247.902844362923,-0.92954164664438,0.181089805386622,-5.13304238557126,2.85095670304657e-07,1.46799972280452e-05
"Scgb2b7",808.059856260405,-5.29188641952424,1.03134271123347,-5.13106493300877,2.88107492826347e-07,1.47930546954038e-05
"Prpf4",611.085824713356,0.292582691397054,0.0570485116053782,5.12866476554089,2.9180443895855e-07,1.49405521359427e-05
"Ccnd3",2378.96945442612,0.591538785640344,0.115419300483453,5.12512884034632,2.97334351237514e-07,1.51808031441688e-05
"Clec7a",122.157396510142,-1.27165791361532,0.248248703789286,-5.12251582467359,3.01485784863895e-07,1.53495220524104e-05
"Lat",221.676877866007,3.30110610470891,0.644498092631183,5.12197963415539,3.02344552301574e-07,1.53501260797368e-05
"Pla2g12a",2813.41398485747,-0.954682508653083,0.186705156507244,-5.1133162388905,3.16551689929898e-07,1.6026534580948e-05
"Cdh10",17.476755710247,-1.33041606269294,0.260490124473897,-5.10735700779419,3.26696148758439e-07,1.64940604352276e-05
"D1Ertd622e",407.99572216362,0.598134251149475,0.117175665363173,5.1045944505254,3.31504671437521e-07,1.66903393605696e-05
"Fut10",91.5983150064097,0.784649876841685,0.153738859085812,5.10378365956079,3.32928859582379e-07,1.67156110247385e-05
"Thyn1",134.214946712582,0.676572873657215,0.132687529749945,5.09899366528447,3.41463977759094e-07,1.70967806543745e-05
"Gm4349",47.4067253839018,-2.25851759376307,0.443248686022807,-5.09537346636796,3.48054428004782e-07,1.73787507096051e-05
"Il20rb",49.4325622951111,-0.957858519484137,0.188301752510868,-5.0868274283791,3.64102856568973e-07,1.81301216354743e-05
"Cep76",401.699840080033,0.558581689013308,0.109891985406038,5.08300661735626,3.71506753469474e-07,1.84481093332444e-05
"Med1",1424.84289407602,0.360843341335465,0.0710082872302606,5.08170743740583,3.74057223665481e-07,1.85240086856198e-05
"Scg2",36.2943175197335,-3.46806736975004,0.682645786241196,-5.08033220104677,3.76775411913577e-07,1.86077774957318e-05
"Zfp759",105.261842256242,0.612641718221012,0.120674181257835,5.0768251488032,3.83793754559513e-07,1.89028853298673e-05
"Rcc1",335.223055878131,0.682742167359124,0.134585535048105,5.07292382584125,3.91749346654484e-07,1.92424306452914e-05
"Metap1d",736.269214611979,-0.871383990857885,0.171796248706275,-5.07219451774944,3.93254105220347e-07,1.92641369111319e-05
"Psmg4",168.718375728491,0.757531439406783,0.149514276961375,5.0666160770886,4.04949854675471e-07,1.97836013908165e-05
